title,author,description,genres,rating,numRatings
Light in My Darkest Night,Catherine Marshall,"This is the story of the intense despair and spiritual emptiness that threatened Catherine Marshall's marriage, her health, and her life--and of the devastating discovery that ultimately brought her peace through a new and greater appreciation of God's love and will.","['Nonfiction', 'Religion', 'Christianity']",4.03,58
A Lotus for Miss Quon,James Hadley Chase,"When Steve Jaffe discovered two million dollars worth of diamonds hidden in the wall of his villa in Saigon, he had no intention of giving up the loot. All he had to do was organize an exit visa and leave, until his houseboy threatened to go to the police. Jaffe had only meant to stop him, but instead he finds himself a felon with murder on his hands. With little chance to keep his secret, Jaffe becomes a man on the run, and the only person he can trust is a beautiful woman who is prepared to do anything to save him.","['Mystery', 'Crime', 'Fiction', 'Novels', 'British Literature', 'Classics']",3.58,247
Vain,Fisher Amelie (Goodreads Author),"Can be read as a standalone.If you’re looking for a story about a good, humble girl, who’s been hurt by someone she thought she could trust, only to find out she’s not as vulnerable as she thought she was and discovers an empowering side of herself that falls in love with the guy who helps her find that self, blah, blah, blah...then you’re gonna’ hate my story.Because mine is not the story you read every time you bend back the cover of the latest trend novel. It’s not the “I can do anything, now that I’ve found you/I’m misunderstood but one day you’ll find me irresistible because of it” tale. Why? Because, if I was being honest with you, I’m a complete witch. There’s nothing redeeming about me. I’m a friend using, drug abusing, sex addict from Los Angeles. I’m every girlfriend’s worst nightmare and every boy’s fantasy.I’m Sophie Price...And this is the story about how I went from the world’s most envied girl to the girl no one wanted around and why I wouldn’t trade it for anything in the world.","['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Contemporary Romance', 'Chick Lit', 'Fiction', 'Drama', 'Realistic Fiction', 'Love']",4.23,30101
Arkadia,Dzintra Sullivan (Goodreads Author),"I am Arkadia Castner. I am beautiful. I am popular. I am also the most messed-up witch you will ever meet. I can’t make water boil, or make the wind blow; I can’t even light a match without the aid of a flint. My 18th birthday is in six months, and if I don’t pass the Paranormal Safety Exams (PSEs) by then, I will be banished to the Isle of Shadows for eternity, never to be seen again – it will be as though I never existed.I found myself at the halfway house under the supervision and guidance of Den Mother and telepathic empath, Eloise Mayflower. The halfway house is the last chance for troubled paranormal teens like me to pass our PSEs and avoid banishment. Eloise knows everything I think and feel, and is supposed to be helping me, but I still can’t do basic spells a six-year-old can do. I hate it here, but I have no choice. This is my last chance.I had all but given up hope, when in walks Bohdan Drak. Tall, dark, and so damn sexy it hurts to look at him – even his muscles had muscles. He is a dragon shifter and wears the mark of having passed his PSEs. When our souls meet, we realize we have found our soul mates and perfect matches. My dying hope has found life again, and I finally have a reason to look forward to a future.I thought everything would be fine, but darkness and despair creep into my future. I have been framed for a murder, and everyone believes I am guilty. The paranormal council now watches my every move. Can I trust Bohdan and true love? I fear my destiny is to be banished forever …","['Paranormal', 'Fantasy', 'Romance', 'Witches', 'Magic']",4.27,190
Imperialism: The Highest Stage of Capitalism,Vladimir Lenin,"'Globalisation' is the buzzword of the 1990s. VI Lenin's Imperialism: The Highest Stage of Capitalism was one of the first attempts to account for the increasing importance of the world market in the twentieth century. Originally published in 1916, Imperialism explains how colonialism and the First World War were inherent features of the global development of the capitalist economy.In a new introduction, Norman Lewis and James Malone contrast Lenin's approach with that adopted by contemporary theories of globalisation. They argue that, while much has changed since Lenin wrote, his theoretical framework remains the best method for understanding recent global developments.","['Politics', 'Nonfiction', 'Economics', 'Philosophy', 'History', 'Theory', 'Russia', 'Classics', 'Sociology', 'Political Science']",4.1,3820
Playlist for the Dead,Michelle Falkoff (Goodreads Author),"Here’s what Sam knows: There was a party. There was a fight. The next morning, Sam’s best friend, Hayden, was dead. All he left Sam was a playlist of songs—and a note, saying that he took his own life. But what Sam doesn’t know is: Why?To figure out what happened, Sam has to rely on the playlist and his own memory. But the more he listens, the more he realizes that his memory isn’t as reliable as he thought. Especially when someone claiming to be Hayden starts sending him cryptic messages, and a series of violent attacks begins on the bullies who made Hayden’s life hell.Sam knows he has to face up to what happened the night. But it’s only by taking out his earbuds and opening his eyes to the people around him—including an eccentric, unpredictable girl who’s got secrets, too—that Sam will finally be able to piece together his best friend’s story.And maybe have a chance to change his own.","['Young Adult', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Romance', 'Mystery', 'Mental Health', 'Music', 'Death', 'Young Adult Contemporary']",3.39,10488
Disney's Talespin Ghost Ship (A Little Golden Book),Andy Helfer,Disney Tailspin Ghost ship,['Childrens'],3.6,50
El otro barrio,Elvira Lindo,"Ramón Fortuna, con apenas 15 años de edad, ve cómo un golpe inexplicable y salvaje del azar cambia su vida y amenaza con destruirla. Contra la evidencia de la sangre derramada, Ramón sabe que es inocente pero su tarea, al revés que en las películas o novelas de juicios, no será demostrar su inocencia, sino desprenderse de una parte de ella, librarse de los lazos y mentiras de los que fue rodeado desde que nació.","['Spanish Literature', 'School']",3.38,354
The Creatures That Time Forgot,Ray Bradbury,"FROM PLANET STORIES: Mad! impossible world! Sun-blasted by day, cold-wracked by night--and life condensed by radiation into eight days! Sim eyed the Ship--if he only dared reach it and escape! ... but it was more than half an hour distant--perhaps the limit of life itself! From the author of Fahrenheit 451, The Martian Chronicles and The Illustrated Man. Originally published in the Fall 1946 issue of Planet Stories. It was later reprinted under the title Frost and Fire.","['Science Fiction', 'Short Stories', 'Science Fiction Fantasy', 'Classics', 'Fiction']",4.18,193
خواطر شاب,أحمد الشقيري (Goodreads Author),في زمن قل غيه الشباب الطموح الذي يحمل هموم دينه وبلده.. يحملها على ظهره ويبوح بها ويفكر في المستقبل في شكل خواطر ذكية.. في هذا الزمان الصعب يخرج علينا أحمد الشقيري.. يحمل خواطره وأفكاره.. انه لا يعبر عن نفسه فقط وإنما يعبر عن مشاعر وأحاسيس وأفكار جيل من الشباب يحب دينه وبلاده ويحلم بمستقبل أفضل.. خواطر أحمد الشقيري شعلة أمل تقول بوضوح أن شباب هذه الأمة هم الأمل في مستقبل أفضل..,"['Nonfiction', 'Religion', 'Self Help', 'Audiobook', 'Human Development', 'Essays', 'Islam', 'Inspirational', 'Biography']",3.97,5486
Professor Unrat,Heinrich Mann,"Der vorliegende Roman gilt neben Heinrich Manns Werk ""Die kleine Stadt"" als eine der besten Schöpfungen aus der Frühzeit des Dichters. Er erschien erstmalig im Jahre 1905 und schildert die makabre Geschichte eines professoralen Gymnasiastenschrecks, einer Spießerexistenz, die in später Leidenschaft einer Kleinstadtkurtisane verfällt und aus den gewohnten bürgerlichen Bahnen entgleist.Mit diesem Roman, dessen Verfilmung mit Emil Jannings und Marlene Dietrich unter dem Titel ""Der blaue Engel"" zu einem der wenigen wirklichen Welterfolge des deutschen Films wurde, gelang Heinrich Mann eine meisterhafte Karikatur der Wilhelminischen Zeit.","['German Literature', 'Fiction', 'Classics', 'Germany', 'Literature', '20th Century', 'Novels', 'Literary Fiction', 'School', 'Romance']",3.68,2434
Lying on the Couch,Irvin D. Yalom,"From the bestselling author of Love's Executioner and When Nietzsche Wept comes a provocative exploration of the unusual relationships three therapists form with their patients. Seymour is a therapist of the old school who blurs the boundary of sexual propriety with one of his clients. Marshal, who is haunted by his own obsessive-compulsive behaviors, is troubled by the role money plays in his dealings with his patients. Finally, there is Ernest Lash. Driven by his sincere desire to help and his faith in psychoanalysis, he invents a radically new approach to therapy -- a totally open and honest relationship with a patient that threatens to have devastating results.Exposing the many lies that are told on and off the psychoanalyst's couch, Lying on the Couch gives readers a tantalizing, almost illicit, glimpse at what their therapists might really be thinking during their sessions. Fascinating, engrossing and relentlessly intelligent, it ultimately moves readers with a denouncment of surprising humanity and redemptive faith.","['Psychology', 'Fiction', 'Novels', 'Contemporary', 'American', 'Literature', 'The United States Of America', 'Mental Health', 'Roman', 'Counselling']",4.02,11762
When Summer Ends,Isabelle Rae,"Chloe Henderson has never been one to break the rules or push the boundaries… but during her summer break, she and her friends use fake IDs to sneak into a club. It’s there that she meets handsome and alluring bartender, Will Morris. The pair hit it off immediately, growing closer with every passing day. But as with every summer, it has to end sometime. Chloe’s senior year approaches and there’s a shock in store when she returns to do her final year at school. Will is there too, but he’s not one of her fellow students…A tale of forbidden love, broken hearts, friendship, and rivalry.","['Romance', 'Young Adult', 'Contemporary', 'New Adult', 'High School', 'Chick Lit', 'Contemporary Romance', 'Realistic Fiction', 'Teen', 'Love']",3.9,12580
The Lost Diary of Don Juan: An Account of the True Arts of Passion and the Perilous Adventure of Love,Douglas Carlton Abrams (Goodreads Author),"It was a time of discovery and decadence, when life became a gamble and the gold that poured endlessly into the port of Sevilla devalued money, marriage, and love itself. In the midst of these treacherous times, Juan Tenorio is born and then abandoned in the barn of a convent. Raised secretly by the nuns, he learns to love and worship all women and wants nothing more than to be a priest, until he falls in love with one of the sisters. When their affair is discovered, Juan leaves the Church forever. He is soon recruited to be a spy by the powerful Marquis de la Mota, who teaches him to become the world's greatest libertine and seducer of women. But when he crosses swords with the most powerful man in the Empire, Don Juan must escape the murderous fury of the Inquisitor who battles all forms of debauchery, deviance, and heresy.It is after knowing countless women that he is convinced by the Marquis to keep a diary, and it is here within its pages that Don Juan reveals his greatest adventures and the Arts of Passion he mastered. But what finally compels him to confess everything and risk losing his life, livelihood, and honor is the most perilous adventure of all -- the irresistible fall into the madness of love with the only woman who could ever make him forget all others.","['Historical Fiction', 'Fiction', 'Romance', 'Spain', 'Historical', '16th Century', 'Audiobook', 'Historical Romance', 'Literary Fiction']",3.38,939
Spirit Dances,C.E. Murphy (Goodreads Author),"For Seattle detective Joanne Walker, spring is about new beginnings. She's mastered her shamanic abilities (mostly), survived a cannibalistic serial killer (barely) and now she's facing the biggest challenge of her career--attending a dance concert with her sexy boss, Captain Michael Morrison. But when the performance--billed as transformative--actually changes her into a coyote, she and Morrison have bigger things to deal with.And there's more. Homeless people are disappearing, a mystical murder puts Joanne way out of her jurisdiction and with the full moon coming on, it's looking like the killer is a creature that can't possibly exist.But Jo could probably handle all of that, if one ordinary homicide hadn't pushed her to the very edge....","['Urban Fantasy', 'Fantasy', 'Paranormal', 'Magic', 'Fiction', 'Supernatural', 'Romance', 'Mystery', 'Shapeshifters', 'Werewolves']",4.23,5288
The Deadhouse,Linda Fairstein (Goodreads Author),"One of the most haunting buildings in New York City, and perhaps the most dramatically beautiful, the Deadhouse sits on a small island in the middle of the East River. The abandoned structure, like the ghostly remains of a castle, plays in the imagination as a site of mystery and intrigue...a likely place for murder. Following on the bestselling success of Cold Hit, Likely to Die, and Final Jeopardy, top Manhattan sex crimes DA Linda Fairstein brings her unique blend of authenticity and style to a mesmerizing tale of murder and deceit. It's the holiday season but there's little reason for cheer at one of New York's most elite colleges. A respected professor is dead; strangled and dumped in an elevator shaft. Lola Dakota's lifeless fingers clutch a few strands of hair, and a piece of paper in her pocket reads ""The Deadhouse."" What brought a distinguished academic to such a tragic end? Opportunistic murder seems unlikely as assistant DA Alexandra Cooper, working with detectives Mike Chapman and Mercer Wallace, uncovers a distressing pattern of betrayal and terror. There's proof that Lola's husband, Ivan, wanted her dead. He has an alibi, but could he have hired a killer? Or could one of Lola's colleagues have erupted into unexpected violence? Some of their stories don't quite ring true. And why did Lola have a photograph of twenty-year-old Charlotte Voight pinned to her office bulletin board? Charlotte left her dorm room eight months ago and vanished into the night. Is she dead? Could she and Lola have become victims of the same predator? Perhaps most puzzling of all are the words ""The Deadhouse."" What was Lola's connection to this desolate place where people once endured slow and agonizing deaths? And what danger awaits Alex there or on the streets of Manhattan as she targets Lola's killer? A richly nuanced synthesis of history and suspense, The Deadhouse showcases Linda Fairstein's immense talent as never before.","['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Legal Thriller', 'Suspense', 'New York', 'American', 'Detective']",3.84,4125
Landing,"Emma Donoghue (Goodreads Author), Stephanie Cannon (Reading)","A delightful, old-fashioned love story with a uniquely twenty-first-century twist, Landing is a romantic comedy that explores the pleasures and sorrows of long-distance relationships--the kind millions of us now maintain mostly by plane, phone, and Internet. Síle is a stylish citizen of the new Dublin, a veteran flight attendant who's traveled the world. Jude is a twenty-five-year-old archivist, stubbornly attached to the tiny town of Ireland, Ontario, in which she was born and raised. On her first plane trip, Jude's and Síle's worlds touch and snag at Heathrow Airport. In the course of the next year, their lives, and those of their friends and families, will be drawn into a new, shaky orbit. This sparkling, lively story explores age-old questions: Does where you live matter more than who you live with? What would you give up for love, and would you be a fool to do so?","['Fiction', 'LGBT', 'Romance', 'Queer', 'Lesbian', 'Contemporary', 'Adult', 'Canada', 'Lesbian Fiction', 'Ireland']",3.41,3434
Queen of Sorcery,David Eddings,"The Trail of Prophecy...Legends told of how the evil God Torak had coveted the power of the Orb of Aldur, until defeated in a final battle. But prophecy spoke of a time when he would awake and again seek dominance over the world. Now the Orb has been stolen by a priest of Torak, and that time was at hand. The master Sorcerer Belgarath and his daughter Polgara the arch-Sorceress were on the trail of the Orb, seeking to regain it before the final disaster. And with them went Garion, a simple farm boy only months before, but now the focus of the struggle. He has never believed in sorcery and wanted no part of it. Yet with every league they traveled, the power grew in him, forcing him to acts of wizardry he could not accept. This continues the magnificent epic of The Belgariad, began in Pawn of Prophecy, set among strange lands against a background of a war of men, Kings, and Gods that had spanned seven thousand years - a novel of strange fate and a prophecy that must come true!","['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Magic', 'Young Adult', 'Audiobook', 'Epic']",4.12,65898
The Intruder,Peter Blauner,"Sold to Hollywood for nearly $3 million, this blockbuster thriller pulls readers into its stranglehold of terror in the tradition of Cape Fear. Having survived a childhood of beatings and psychological torture, successful Manhattan lawyer Jacob Schiff cherishes his stable family life with his wife, a psychiatric social worker, and his son. But Jake sees it all unraveling when John Gates, a homeless man who has become his wife's patient, starts stalking her and menacing the family.","['Fiction', 'Thriller', 'Suspense', 'Mystery', 'Horror', 'Crime', 'Mystery Thriller', 'Writing']",3.52,664
Horn OK Please: The Scrotum Scrolls,Kartik Iyengar (Goodreads Author),"In the second instalment of the Horn OK Please series, the ‘morons’, Chief Redbull, Goose Goldsmith, Derek Demonia and Hound Hitchhiker, are abducted by an alien race called the Scrotum Heads, who entrust them with a mission to locate the Scrotum Scrolls—ancient documents that contain the secrets to the Universe.According to the Mayan calendar, doomsday is looming, and the evil Hurricane Helga and her henchmen from Planet Afaria are heading to destroy the planet on that very day...unless the morons can find the scrolls in time.With their trusty SUV, Motormouth, they must drive across the country in search of their destiny, unlock secret codes, discover hidden keys and battle aliens. From meeting shamans and opening intergalactic wormholes, from blowing up boats to groping naked statues, from surviving in harsh, cold mountainous climates to battling dry, desert heat—the morons must do it all.Quirky, fun and wildly imaginative, Horn OK Please: The Scrotum Scrolls is an indisputably hilarious read.",[],3.7,20
The Disappearance of Haruhi Suzumiya,"Nagaru Tanigawa, Noizi Itou (Illustrator)","What if you woke up one morning, and everything changed?It's one week before Christmas Eve, and Haruhi and the S.O.S. Brigade (a club for her high school's strangest and most extraordinary students) are gearing up for holiday festivities. But just before the fun kicks off, Kyon, the only ""normal"" member, wakes up in a weird alternate dimension, one where Haruhi attends another school entirely, Nagato the time traveling robot is just an ordinary human, and Mikuru (the cute girl of Kyon's dreams) doesn't even recognize him-in other words, S.O.S. Brigade never existed.The only clue Kyon can find is a bookmark left by the robot version of Nagato, which leads him on a quest back in time, where he interacts with the storyline from ""Bamboo Leaf Rhapsody"", a short story from the previous Haruhi book, The Boredom of Haruhi Suzumiya. This fun and quirky holiday tale is reminiscent of A Christmas Carol and It's a Wonderful Life.","['Light Novel', 'Fantasy', 'Science Fiction', 'Fiction', 'Young Adult', 'Manga', 'Japanese Literature', 'Mystery', 'Japan', 'Humor']",4.38,1738
Arctic Dreams,"Barry Lopez (Goodreads Author), سامي الشاهد (ترجمة)","Barry Lopez's National Book Award-winning classic study of the Far North is widely considered his masterpiece.Lopez offers a thorough examination of this obscure world-its terrain, its wildlife, its history of Eskimo natives and intrepid explorers who have arrived on their icy shores. But what turns this marvelous work of natural history into a breathtaking study of profound originality is his unique meditation on how the landscape can shape our imagination, desires, and dreams. Its prose as hauntingly pure as the land it describes, Arctic Dreams is nothing less than an indelible classic of modern literature.","['Nonfiction', 'Travel', 'Science', 'Nature', 'History', 'Environment', 'Natural History', 'Adventure', 'Outdoors', 'Memoir']",4.22,6117
My Fair Godmother,"Janette Rallison (Goodreads Author), Cyril Laumonier (Goodreads Author) (Translator)","Finding your one true love can be a Grimm experience! After her boyfriend dumps her for her older sister, sophomore Savannah Delano wishes she could find a true prince to take her to the prom. Enter Chrissy (Chrysanthemum) Everstar: Savannah’s gum-chewing, cell phone–carrying, high heel-wearing Fair Godmother. Showing why she’s only Fair—because she’s not a very good fairy student—Chrissy mistakenly sends Savannah back in time to the Middle Ages, first as Cinderella, then as Snow White. Finally she sends Tristan, a boy in Savannah’s class, back instead to turn him into her prom-worthy prince. When Savannah returns to the Middle Ages to save Tristan, they must team up to defeat a troll, a dragon, and the mysterious and undeniably sexy Black Knight. Laughs abound in this clever fairy tale twist from a master of romantic comedy.","['Fantasy', 'Young Adult', 'Romance', 'Fairy Tales', 'Magic', 'Time Travel', 'Chick Lit', 'Fiction', 'Adventure', 'Humor']",3.92,12322
House at the End of the Street,"Lily Blake (Adapter), David Loucka, Jonathan Mostow","Seeking a fresh start, newly divorced Sarah and her daughter Elissa find the house of their dreams in a small, upscale, rural town. But when startling and unexplainable events begin to happen, Sarah and Elissa learn the town is in the shadows of a chilling secret. Years earlier, in the house next door, a daughter killed her parents in their beds, and disappeared - leaving only a brother, Ryan, as the sole survivor. Against Sarah's wishes, Elissa begins a relationship with the reclusive Ryan - and the closer they get, the deeper they're all pulled into a mystery more dangerous than they ever imagined. This novel includes a fold-out poster!","['Horror', 'Young Adult', 'Mystery', 'Thriller', 'Fiction', 'Media Tie In', 'Suspense', 'Mystery Thriller', 'Crime', 'Contemporary']",3.51,1524
مغامرة العقل الأولى,فراس السواح,الأسطورة حكاية مقدسة تقليدية، بمعنى أنها انتقلت من جيل إلى جيل، بالرواية الشفهية. مما يجعلها ذاكرة الجماعة التي تحفظ قيمها وعاداتها وطقوسها وحكمتها، وتنقلها للأجيال المتعاقبة، وتكسبها القوة المسيطرة على النفوس. فهي الأداة الأقوى في التثقيف والتطبيع والقناة التي ترسخ من خلالها ثقافة ما وجودها واستمرارها عبر الأجيال وحتى في فترات شيوع الكتابة، لم تفقد الأسطورة الشفهية قوتها وتأثيرها. ذلك أن الألواح الفخارية، كانت محفوظة في المعابد وفي مكتبات الملوك، ولا تلعب إلا دور الحافظ للأسطورة من التحريف بالتناقل. وبقي السمع هو الوسيلة الرئيسية في تداولها. وفي أكثر من مناسبة دورية، كانت الأساطير تتلى أو تنشد في الاحتفالات الدينية العامة، من ذلك مثلاً، أعياد رأس السنة في بابل، حيث كانت تتلى وتمثل أسطورة التكوين البابلية. وأعياد الربيع حيث كانت تتلى وتمثل عذابات الاله تموز. بالإضافة إلى ذلك فإن الأسطورة هي أيضاً نص أدبي، وضع في أبهى حلة فنية ممكنة، واقوى صيغة مؤثرة في النفوس، وهذا ما زاد في سيطرتها وتأثيرها. وكان على الأدب والشعر، أن ينتظرا فترة طويلة، قبل أن ينفصلا عن الأسطورة. لقد وضعت معظم الأساطير السورية والسومرية والبابلية في أجمل شكل شعري ممكن. وقام هوميروس بصياغة معظم أساطير عصره المتداولة، شعراً في الأوديسة والإلياذة. وإلى جانب الشعر والأدب، خلقت الأسطورة فنوناً أخرى كالمسرح الذي ابتدأ عهده بتمثيل الأساطير الرئيسية في الأعياد الدينية. كما دفعت فنوناً أخرى كالغناء والموسيقى وغيرها. وبعد هذا كتاب في أسطورة الشرق القديم، وهو بين يد القارئ في طبعته الثالثة عشرة. وهدف الباحث من وراء كتابه هذا التعريف بالأسطورة في سوريا القديمة وبلاد الرافدين، معتمداً في ذلك على النصوص الكاملة لأهم الأساطير المعروفة والتي تم استحضارها من خلال أكثر من نص وأكثر من ترجمة. وقد كانت براعة الباحث في تقديم كل أسطورة في مناخها العام من الأساطير واضحة حيث أخذت كل أسطورة في هذه الدراسة مكانها في صورة الأساطير ككل، مستمدة تفسيرها من البنية الإجمالية للدراسة. وكان منهجه في تقديم الأساطير يعتمد على جمعها من مجموعات وفق موضوعاتها لا وفق تسلسل زمني أو توزع جغرافي، لأن تفسير أسطورة ما، يبدو عصياً، إذا لم ينظر إليها من خلال منظور شامل، يجمعها مع غيرها من الأساطير التي تعالج نفس الموضوع. وهو منهج جديد في دراسة أساطير المنطقة. بالإضافة إلى ذلك قام الباحث ومن خلال أسفار الكتاب، بمقارنة شاملة مع كتاب التوراة العبرانية، فيما يتعلق بالنصوص الأسطورية الواردة فيه، وذلك لإظهار، مدى اعتماد الثقافة اليهودية على الثقافة السورية والبابلية في صياغة أهم مرجع ديني وثقافي لدى الشعب اليهودي، مظهراً علاقة الأساطير السورية والبابلية بأساطير الشعوب المجاورة كالمصريين والإغريق، متتبعاً ما أمكنه ذلك الأصول الشرقية للأساطير الإغريقية. أما لماذا اقتصر بحثه على سورية وبلاد الرافدين دون بغية ثقافات الشرق القديم، فيوضح الباحث بأن ذلك راجع لأسباب ثلاثة: الأول هو الوحدة الثقافية القائمة في هذا الجزء من المنطقة، هذه الوحدة الثقافية القائمة في هذا الجزء من المنطقة، هذه الوحدة هي التي تعطي لأي بحث يدور حولهما طابع الانسجام والتكامل. والثاني راجع لاتساع الموضوع وتشعبه، مما لا يسمح بدراسة وافية لميثولوجيا الشرق القديم في كتاب واحد ومن قبل مؤلف واحد. أما السبب الثالث فهو يرجع إلى ميل الباحث إلى آداب هذه المنطقة، وولعه بتاريخها وتراثها. وإلى ذلك كان توجه الباحث من خلال كتابه هذا لم يكن إلى زمرة معينة من القراء، بل توجهه كان إلى زمر متعددة فالقارئ العادي يجد فيه موضوعاً جديداً على الكتابات العربية الحديثة، لأنه أول كتاب يعالج موضوع الأسطورة على هذا المستوى من الإحاطة. وسيجد القارئ المطلع كثيراً من المعلومات الجديدة والتفسيرات الجديدة. كما سيجد المهتمون بالديانات المقارنة عدداً لا بأس به من النقاط القابلة للدراسة والمناقشة، وكذلك الأمر فيما يتعلق بدارسي الآداب والديانة اليهودية. أما بالنسبة للمتخصصين، فيأمل الباحث أن تفتح النظرات والأفكار الجديدة التي طرحها في ثنايا هذا الكتاب، مجالاً لحوارات مجدية.,"['Mythology', 'Religion', 'History', 'Nonfiction', 'Philosophy', 'Anthropology', 'Humanities']",4.19,2348
علاقات خطرة,د. محمد طه (Goodreads Author),مُمكن تكون أعقد حاجة في الدنيا هي العلاقات بين البشر.. مش بس أعقد.. لا.. هي كمان أخطر، وطبعًا أصعب.. العلاقات بين البشر زي ما هي أحد الأسباب المهمة للسعادة والبهجة والإقبال على الحياة.. ساعات بتكون أحد أهم مصادر التعاسة والألم.. ممكن علاقة تطلعك سابع سما، وعلاقة تانية تنزلك سابع أرض.. اللي بيبوظ ويشوه ويؤذي الناس علاقة.. واللي بيصلح ويغير ويعالج الناس برضه علاقة.. إحنا بنكبر من خلال علاقاتنا مع بعض..فيه دراسة اتعملت في جامعة هارفارد واتنشرت قريب.. الدراسة دي استمرت 75 سنة، أجيال من الباحثين وأجيال من البشر.. كانوا بيشوفوا هو إيه اللي فرق في حياة الناس بعد السنين الطويلة اللي عاشوها هما وأولادهم وأحفادهم.. معظمهم كانوا متصورين في الأول إن اللي هايفرق في حياتهم هو الفلوس والشهرة وغيرها.. بس اكتشف الباحثون في آخر الدراسة إن أكتر حاجة فرقت في صحة الناس النفسية والجسدية، وطول أعمارهم ومدى سعادتهم وقدرتهم على مقاومة الأمراض والأحزان والشيخوخة وغيرها.. هي وجود علاقات طيبة في حياتهم.. علاقات فيها قرب وحب وتراحم وتفاهم.. علاقات كان الطرف التاني فيها متاح وموجود في عز الأوقات الصعبة.. وعلى العكس.. الناس اللي ما كانش عندهم علاقات بالشكل ده في حياتهم.. أعمارهم كانت أقصر.. نسبة إصابتهم بالأمراض المختلفة كانت أكتر.. قدرتهم على تحمل الألم النفسي والجسدي كانت أقل.. وجالهم كمان ألزهايمر في شيخوختهم.. العلاقات الطيبة هي أكسير الحياة.. وهي الترياق الوحيد ضد الذبول الروحي.. والموت النفسي..في كتاب (علاقات خطرة) هانتكلم عن أنواع وأشكال كتير من العلاقات.. بدءًا من علاقتك بنفسك.. وانتهاء بعلاقتك بكل اللي حواليك.. علشان كده الكتاب مقسم إلى خمسة أقسام..القسم الأول (الفصول من 1 إلى 3) يخص تركيبتك أنت شخصيًّا.. اللي مهم تعرفها وتبقى واعي بيها قبل ما تعمل أي علاقة مع أي حد.. القسم التاني (الفصول من 4 إلى 6) عن بعض الحاجات المهمة جدًّا في علاقتك بالآخرين.. هو إنت في العلاقة دي بتكون نفسك واللا بتكون حد تاني؟ طيب هو إنت شايف اللي قدامك زي ما هو واللا بتتعامل مع حد غيره في صورته؟ طيب اللي قدامك نفسه بيتعامل معاك كما أنت، واللا بيلبسك صورة حد غيرك؟ القسم التالت (الفصول من 7 إلى 10) هانشوف فيه نتيجة اضطراب ولخبطة بعض علاقاتنا مع الآخرين.. خاصة القريبين مننا.. القسم الرابع (الفصول من 11 إلى 19) عن التغيير.. عن الشفاء والالتئام النفسي.. عن قبول كل مشاعرك وأجزاءك من غير نقص أو تشويه أو اختزال.. عن قبول الحياة وقبول الموت.. عن امتلاء كل الفراغات النفسية اللي جواك.. والخروج من الصندوق الضيق المظلم المغلق عليك من سنين.. عن إنك تكون نفسك..وأخيرًا.. وبعد ما شوفت وحسيت واتحركت واتغيرت.. وبعد ما اتفكيت واتجمَّعت واتلملمت والتأمت.. هانستعرض في الفصل العشرين 30 علاقة خطرة مهم تاخد بالك منهم في رحلة حياتك.. علشان تبقى واعي بيهم، وتعرف تلقطهم وتشوفهم كويس، وتحمي نفسك منهم بكل شجاعة ومسئولية.. مهما كان التمن..الكتاب ده عنك..وعن اللي حواليك.. وعن اللي بينكم.. الكتاب ده.. مش ها يفارقك..لأنه بكل بساطة..ها يبقى حتة منك..واحتمال تكتشف مع آخر صفحاته.. إنك شاركت في كتابته..يا للا بينا..,"['Psychology', 'Self Help', 'Nonfiction', 'Relationships', 'Human Development', 'Personal Development']",3.85,7711
Slawter,Darren Shan (Goodreads Author),"Lights. Camera. Slawter!Grubbs Grady and his half-brother Bill-E are thrilled to join their uncle Dervish as onset consultants for the newest movie by cult horror producer David A Hayms. Shot in a deserted town renamed Slawter, the demon-themed movie is to be Hayms's masterpiece. But as strange incidents disrupt the set, Grubbs begins to wonder whether more than filming is afoot.","['Horror', 'Fantasy', 'Young Adult', 'Fiction', 'Demons', 'Paranormal', 'Supernatural', 'Magic', 'Childrens', 'Adventure']",4.18,12870
The War I Finally Won,Kimberly Brubaker Bradley (Goodreads Author),"Ada and her younger brother, Jamie, now have a permanent home with their loving legal guardian, Susan Smith. Although Jamie adapts more easily, Ada still struggles with the aftermath of her old life, and how to fit into her new life. World War II continues, and forces the small community to come together and rely on one another. Ada has never been interested in getting to know her friend’s family—especially Maggie’s mother, the formidable Lady Thorton. However, circumstances bring them in close proximity along with other unexpected characters. Ada comes face to face with another German! This time she isn’t sure what she should do. How can she help the ones she loves and keep them safe? Ada’s first story, The War that Saved My Life, won a Newbery Honor, the Schneider Family Book Award, and the Josette Frank Award, in addition to appearing on multiple best-of-the-year lists. This second, marvelous volume continues Ada’s powerful, uplifting story.""Ada is for the ages—as is this book. Wonderful."" —Kirkus, starred review""Fans of the first book will love the sequel even more."" —SLJ, starred review""Bradley sweeps us up . . . even as she moves us to tears."" —The Horn Book, starred review""Perceptive . . . satisfying . . . will stay with readers."" —PW, starred review","['Historical Fiction', 'Middle Grade', 'Fiction', 'Young Adult', 'Historical', 'World War II', 'Audiobook', 'Childrens', 'War', 'Family']",4.49,22201
